"Site","Year","ID","Ring","Tag","Sex","Birth","Status","class","Repeat","deployAge","gen","env","pop","deployBreedStatus","winterLongitude","winterLatitude","iblon","iblat","awestlon","awestlat","pslon","pslat","deployAD_J","deployFED_J","deployHatch_J","breedDeparture_J","FAC_EndJ","winterArrival_J","ISC_Jy","breedArrival_Jy","returnAD_Jy","returnFED_Jy","returnHatch_Jy"
"Drenthe",2018,"BN349","AU.94355","P30","M",2017,"recruit","NL-NL","N",2,"NL","NL","Netherlands","breeding",-5.486968361,10.64617695,-6.71192891539886,40.3912927496848,-15.4653858552894,32.0764510436653,-4.22461345178243,38.1812277373381,114,128,145,212,237,244,461,478,479,496,514
"Drenthe",2018,"BN350","BC.17888","P30","M",2015,"recruit","NL-NL","N",4,"NL","NL","Netherlands","breeding",-6.378542969,11.51602859,-5.26037184106022,38.8423797617766,-14.5037484970253,27.4313615288034,-8.33285300191343,27.3346255841166,108.5,126,144,213,239,244,469,NA,473.5,NA,NA
"Drenthe",2018,"BN351","AU.94795","P30","M",2017,"recruit","NL-NL","N",2,"NL","NL","Netherlands","breeding",-7.284254524,9.543831521,-7.80759621920947,40.3405506790396,-14.6489055307001,33.8648415937956,3.59382241283635,46.9495296349216,103.5,128,145,211,227,242,451,468,468.5,481,500
"Drenthe",2018,"BN354","BB.19106","P30","M",2014,"recruit","NL-NL","N",5,"NL","NL","Netherlands","breeding",-5.776844008,11.26446373,-7.70213100584267,41.1601126063373,-14.8391404546265,21.5301463546884,NA,NA,106,127,144,213,230,241,459,NA,471,NA,NA
"Drenthe",2018,"BN355","BF.63439","P30","F",2016,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-7.592270541,10.13458089,-7.77730802078193,39.7182269006066,-14.6348442847801,28.6552099552444,-2.38388590935717,34.1465113596985,114,124,142,209,227,235,451,473,479,483,506
"Drenthe",2018,"BN357","AU.94331","P30","F",2017,"recruit","NL-NL","N",2,"NL","NL","Netherlands","breeding",-8.603030475,8.128546581,-7.83664529980574,42.6216475758128,-15.2872690754805,26.0765198041244,12.883245401455,42.321258523191,115,124,141,205,223,230,458,476,480,487,505
"Drenthe",2018,"BN774","BB.97143","P30","M",2016,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-7.792573215,11.97139355,-5.40281854004173,40.1671415730854,-13.4165518268604,22.1350577279849,-3.2948254481709,33.5702975012368,111,147,163,229,251,264,463,475,476,NA,NA
"Drenthe",2018,"BN778","BB.97099","P30","M",NA,"immigrant","NL-NL","N",NA,"NL","NL","Netherlands","breeding",-6.630762321,11.46002685,-8.35097685713059,41.6564897236611,-15.3562643129401,32.2107725067651,-3.40887719844818,34.5675064862684,113,156,148,230,243,253,461,476,478,NA,NA
"Drenthe",2018,"BN783","BF.63019","P30","F",2016,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-6.672908877,8.499054189,-7.24301969190013,41.8293523559347,-14.7150427576791,19.5061605808627,NA,NA,116,123,140,213,231,241,459,NA,481,484,505
"Drenthe",2019,"BT863","BG.72906","P30","M",2017,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-6.313162193,8.041251333,-7.22529953637441,39.0084242337592,-15.9161704794752,26.3494793167051,0.0783593666028866,33.9420768589152,110,123,142,230,246,256,452,463,475,481,501
"Drenthe",2019,"BT867","BF.62622","P30","M",2017,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-8.169212052,6.897382834,-7.42666864554331,41.7065125597403,-14.4810159998862,22.9053189961578,-4.32107863553654,27.4736765956211,101,121,140,206,232,241,437,462,466,NA,NA
"Drenthe",2019,"BT872","AU.94097","P30","M",2017,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-8.65007697,8.360606218,-8.21705040795396,42.1736030838359,-14.9662953083045,24.1858085221238,-9.15910243184842,30.4614534678748,112.5,123,141,217,245,253,460,473,477.5,NA,NA
"Drenthe",2019,"BT874","BE.45299","P30","M",2015,"recruit","NL-NL","N",5,"NL","NL","Netherlands","breeding",-7.980660552,13.58279805,-7.39059363590907,41.8720622766182,-15.8507441257996,27.4833889251881,6.04870320508953,21.6424461152851,107,121,142,204,228,233,451,463,472,485,503
"Drenthe",2019,"BT877","BF.63441","P30","F",2016,"recruit","NL-NL","N",4,"NL","NL","Netherlands","breeding",-6.794266417,12.0968521,-6.65883073620976,38.6863125905382,-14.5087929110408,25.7727095956303,-6.90482017393684,24.2264535306628,112,118,146,207,233,239,460,476,477,486,505
"Drenthe",2019,"BT878","BG.71158","P30","M",2017,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-7.659592234,9.547194408,-6.19328971468761,39.6538695826157,-14.2887096392809,32.9781263482116,4.93893779158987,46.3828176604121,97,135,152,208,233,259,452,462,462,496,514
"Drenthe",2016,"Z824","BC.17019","P50","M",2014,"recruit","NL-NL","N",3,"NL","NL","Netherlands","breeding",-6.748576795,8.097583995,-7.04423274349875,42.2731040901217,-14.8695393416962,30.6368032903197,NA,NA,100,129,147,201,222,232,NA,NA,465,493,510
